media;domain;country;region;language;overall
Nueva Tribuna;nuevatribuna.es;Spain;Western Europe;Spanish;48.25
OK Diario;okdiario.com;Spain;Western Europe;Spanish;61.5
Objetivo clm;objetivocastillalamancha.es;Spain;Western Europe;Spanish;25.75
Periodista Digital;periodistadigital.com;Spain;Western Europe;Spanish;61.5
Publico;publico.es;Spain;Western Europe;Spanish;62.25
República;republica.com;Spain;Western Europe;Spanish;59.5
SUR;diariosur.es;Spain;Western Europe;Spanish;66.0
Sabemos;sabemos.es;Spain;Western Europe;Spanish;24.0
Te Interesa;teinteresa.es;Spain;Western Europe;Spanish;48.5
The Objetive;theobjective.com;Spain;Western Europe;Spanish;49.25
Voz Libre;vozlibre.com;Spain;Western Europe;Spanish;31.75
Voz Populi;vozpopuli.com;Spain;Western Europe;Spanish;52.25
applesfera;applesfera.com;Spain;Western Europe;Spanish;1.0
azsalud;azsalud.com;Spain;Western Europe;Spanish;1.0
borntoplay;borntoplay.es;Spain;Western Europe;Spanish;1.0
computerhoy;computerhoy.com;Spain;Western Europe;Spanish;1.0
cosasdejuegos;cosasdejuegos.es;Spain;Western Europe;Spanish;1.0
efesalud;efesalud.com;Spain;Western Europe;Spanish;1.0
elDiario.es;eldiario.es;Spain;Western Europe;Spanish;69.25
estilonext;estilonext.com;Spain;Western Europe;Spanish;1.0
genbeta;genbeta.com;Spain;Western Europe;Spanish;1.0
hipertextual;hipertextual.com;Spain;Western Europe;Spanish;1.0
hobbyconsolas;hobbyconsolas.com;Spain;Western Europe;Spanish;1.0
hobbyconsolas;hobbyconsolas.com;Spain;Western Europe;Spanish;1.0
marca;marca.com;Spain;Western Europe;Spanish;1.0
medicoplus;medicoplus.com;Spain;Western Europe;Spanish;1.0
medlineplus.gov/spanish/;medlineplus.gov/spanish/;Spain;Western Europe;Spanish;1.0
meristation;as.com/meristation/|meristation.com;Spain;Western Europe;Spanish;1.0
mundoasistencial;mundoasistencial.com;Spain;Western Europe;Spanish;1.0
muyinteresante;muyinteresante.es;Spain;Western Europe;Spanish;1.0
natursan;www.natursan.net;Spain;Western Europe;Spanish;1.0
nintenderos;nintenderos.com;Spain;Western Europe;Spanish;1.0
pixfans;pixfans.com;Spain;Western Europe;Spanish;1.0
psicoactiva;psicoactiva.com;Spain;Western Europe;Spanish;1.0
psicologiaymente;psicologiaymente.com;Spain;Western Europe;Spanish;1.0
softzone;softzone.es;Spain;Western Europe;Spanish;1.0
techradar;techradar.com|global.techradar.com;Spain;Western Europe;Spanish;1.0
vidaextra;vidaextra.com;Spain;Western Europe;Spanish;1.0
vitonica;www.vitonica.com;Spain;Western Europe;Spanish;1.0
webconsultas;www.webconsultas.com;Spain;Western Europe;Spanish;1.0
xataka;xataka.com;Spain;Western Europe;Spanish;1.0
ÑTV ESPAÑA;ntvespana.com;Spain;Western Europe;Spanish;20.5
Última Hora;ultimahora.es;Spain;Western Europe;Spanish;59.25
